,amount_of_feats_to_reg,corr_cutoff_bound,linear_reg_to,next_predictor_provider,order,req_neighs,Rm_mape,Rm_r2,Rm_missing_from_test,Rm_missing,Rp02_mape,Rp02_r2,Rp02_missing_from_test,Rp02_missing,A5_mape,A5_r2,A5_missing_from_test,A5_missing,HB_mape,HB_r2,HB_missing_from_test,HB_missing,K_mape,K_r2,K_missing_from_test,K_missing,avg_r2,avg_mape,missing_all,missing_test_percent
30,1,0.9,0.7,dectree,1,5,6.554821669958629,0.6808314970409897,3,22.0,7.3077236855318946,0.7977051610022446,1,25.0,18.015290969251666,0.5701751426789841,15,262.0,3.7627487901155074,0.9163313233571255,7,136.0,14.784002350564048,,10,326.0,,10.084917493084351,771.0,0.4186046511627907
36,1,0.9,0.85,lin,1,5,6.554821669958629,0.6808314970409897,3,22.0,7.3077236855318946,0.7977051610022446,1,25.0,18.015290969251666,0.5701751426789841,15,262.0,3.7627487901155074,0.9163313233571255,7,136.0,14.784002350564048,,10,326.0,,10.084917493084351,771.0,0.4186046511627907
27,1,0.9,0.7,lin,2,5,6.285635384541409,0.7327839294492913,0,5.0,7.592142351278551,0.7825214597653043,1,8.0,20.343813197912784,0.3388694209001202,14,168.0,6.453181524112277,0.8104121629541458,3,108.0,10.422304205585055,0.7435081630397784,9,316.0,0.681619027221728,10.219415332686015,605.0,0.313953488372093
34,1,0.9,0.7,dectree,2,10,5.129877166703821,0.8020784241557198,1,26.0,7.35614024587858,0.7660828872496411,1,70.0,11.557777918730428,0.6086429556610868,15,158.0,7.252170155277719,0.6578105202483655,6,30.0,20.117221089687842,0.86077812202376,7,139.0,0.7390785818677147,10.282637315255679,423.0,0.3488372093023256
29,1,0.9,0.7,lin,2,20,5.129877166703821,0.8020784241557198,1,26.0,7.35614024587858,0.7660828872496411,1,70.0,11.557777918730428,0.6086429556610868,15,158.0,7.252170155277719,0.6578105202483655,6,30.0,20.117221089687842,0.86077812202376,7,139.0,0.7390785818677147,10.282637315255679,423.0,0.3488372093023256
40,1,0.9,0.85,lin,2,10,5.129877166703821,0.8020784241557198,1,26.0,7.35614024587858,0.7660828872496411,1,70.0,11.557777918730428,0.6086429556610868,15,158.0,7.252170155277719,0.6578105202483655,6,30.0,20.117221089687842,0.86077812202376,7,139.0,0.7390785818677147,10.282637315255679,423.0,0.3488372093023256
124,2,0.95,0.7,lin,2,10,4.408286704672445,0.8746700629135071,10,191.0,6.537597192970026,0.7938111079251434,9,218.0,29.23370144107767,0.40735560569276874,18,188.0,5.518888104727977,0.8895620331984876,9,162.0,6.198324999288099,0.7766590168205533,9,345.0,0.7484115653100921,10.379359688547243,1104.0,0.6395348837209303
136,2,0.95,0.85,lin,2,10,4.408286704672445,0.8746700629135071,10,191.0,6.537597192970026,0.7938111079251434,9,218.0,29.23370144107767,0.40735560569276874,18,188.0,5.518888104727977,0.8895620331984876,9,162.0,6.198324999288099,0.7766590168205533,9,345.0,0.7484115653100921,10.379359688547243,1104.0,0.6395348837209303
131,2,0.95,0.7,dectree,2,20,4.408286704672445,0.8746700629135071,10,191.0,6.537597192970026,0.7938111079251434,9,218.0,29.23370144107767,0.40735560569276874,18,188.0,5.518888104727977,0.8895620331984876,9,162.0,6.198324999288099,0.7766590168205533,9,345.0,0.7484115653100921,10.379359688547243,1104.0,0.6395348837209303
48,1,0.95,0.7,lin,1,5,6.026009241776218,0.7129171616850488,2,13.0,7.394119440672277,0.7924753191869994,1,18.0,20.343813197912784,0.3388694209001202,14,261.0,4.016900348198783,0.9020405187402157,6,126.0,14.784002350564048,,10,321.0,,10.512968915824823,739.0,0.38372093023255816
